Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M Company,Industrials,178.545,2.520,22.512,7.931,19.955,134.640,182.270,107.39,8.66,3.517,8.814,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
ABT,Abbott Laboratories,Health Care,39.2901,2.7100,42.8931,0.9160,14.1110,36.0000,46.2200,57.85,4.64,2.7501,2.7411,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Health Care,61.64,4.15,16.66,3.70,3.98,50.71,68.12,100.17,11.18,3.92,15.30,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture plc,Information Technology,123.36,2.04,19.13,6.45,12.17,91.40,124.96,76.52,5.54,2.30,10.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ATVI,Activision Blizzard,Information Technology,36.755,0.690,31.905,1.152,11.866,26.490,45.550,27.32,1.89,4.674,3.151,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AYI,Acuity Brands Inc,Industrials,247.87,0.21,37.39,6.63,38.30,169.42,280.89,10.74,0.5684,3.25,6.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
ADBE,Adobe Systems Inc,Information Technology,104.44,0.00,53.29,1.96,14.64,71.27,111.09,51.93,1.65,9.27,7.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AAP,Advance Auto Parts,Consumer Discretionary,175.535,0.140,28.767,6.102,38.781,131.590,177.830,12.93,1.16,1.366,4.552,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AES,AES Corp,Utilities,11.95,3.88,,-0.41,4.37,8.22,13.32,7.88,3.43,0.55,2.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET,Aetna Inc,Health Care,128.86,0.78,18.58,6.93,52.10,92.42,136.50,45.22,5.97,0.73,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG,Affiliated Managers Group Inc,Financials,161.44,,18.63,8.67,58.06,115.97,179.85,8.85,0.8562000000000001,3.96,2.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL,AFLAC Inc,Financials,69.06,2.51,10.95,6.31,55.84,54.57,74.50,28.18,4.61,1.28,1.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies Inc,Health Care,46.30,1.18,33.07,1.40,13.09,34.15,48.63,15.00,0.861,3.53,3.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products & Chemicals Inc,Materials,149.50,2.32,51.73,2.89,32.57,106.05,149.70,32.50,3.11,3.40,4.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
AKAM,Akamai Technologies Inc,Information Technology,64.91,,36.86,1.76,18.25,39.43,71.04,11.25,0.71369,4.99,3.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALK,Alaska Air Group Inc,Industrials,89.91,1.30,12.61,7.13,23.23,54.51,90.27,11.08,1.79,1.89,3.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
ALB,Albemarle Corp,Materials,90.53,1.41,47.40,1.91,29.33,45.78,92.24,10.18,0.9729800000000001,2.93,3.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
AA,Alcoa Inc,Materials,32.00,1.25,,-5.94,38.17,20.00,32.19,5.85,1.11,0.62,0.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AA
ALXN,Alexion Pharmaceuticals,Health Care,132.20,,80.61,1.64,37.93,110.56,193.45,29.64,1.11,9.56,3.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALLE,Allegion,Industrials,65.73,0.74,28.21,2.33,1.58,52.95,73.49,6.31,0.4883,2.84,41.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
AGN,Allergan plc,Health Care,192.80,1.47,5.41,35.66,221.28,184.50,317.48,72.32,6.81,4.23,0.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
ADS,Alliance Data Systems,Information Technology,232.31,0.92,24.55,9.46,30.86,176.63,280.95,13.42,1.67,1.96,7.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
LNT,Alliant Energy Corp,Utilities,36.84,3.26,24.38,1.51,16.96,29.07,40.99,8.38,1.03,2.54,2.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL,Allstate Corp,Financials,72.46,1.86,19.62,3.69,52.14,56.03,72.72,26.68,2.91,0.73,1.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc Class A,Information Technology,808.7391,,29.6003,27.3220,194.5960,672.6600,839.0000,557.41,28.29,6.4073,4.0863,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG,Alphabet Inc Class C,Information Technology,788.34,,28.85,27.32,194.60,663.06,816.68,543.35,28.29,6.26,3.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO,Altria Group Inc,Consumer Staples,66.52,3.79,25.01,2.66,1.51,56.15,70.15,129.85,9.45,6.60,43.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon.com Inc,Consumer Discretionary,767.21,,175.76,4.36,37.44,474.00,847.21,364.55,10.96,2.85,20.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AEE,Ameren Corp,Utilities,50.50,3.57,18.89,2.67,29.65,41.33,54.08,12.25,2.29,2.08,1.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AAL,American Airlines Group,Industrials,49.40,0.86,5.12,9.65,8.46,24.85,50.64,25.60,8.22,0.62,5.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
AEP,American Electric Power,Utilities,60.93,3.97,42.43,1.44,35.23,54.08,71.32,29.96,5.22,1.83,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express Co,Financials,74.705,1.770,13.274,5.628,22.919,50.270,75.200,68.37,0.00,2.246,3.268,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,"American International Group, Inc.",Financials,65.83,1.97,214.43,0.31,85.02,48.41,66.10,67.62,5.33,1.27,0.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower Corp A,Financials,103.115,2.060,51.609,1.998,15.759,83.070,118.260,43.89,3.31,7.887,6.497,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK,American Water Works Company Inc,Utilities,72.81,2.08,28.01,2.60,29.43,56.40,85.24,12.96,1.52,3.96,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP,Ameriprise Financial,Financials,118.55,2.60,16.08,7.37,42.88,76.00,119.32,18.74,2.79,1.60,2.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
ABC,AmerisourceBergen Corp,Health Care,78.85,1.91,12.48,6.32,9.68,68.38,105.81,17.35,2.07,0.12,7.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC
AME,Ametek,Industrials,50.935,0.710,22.146,2.300,14.575,42.820,54.700,11.79,1.02,3.065,3.503,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen Inc,Health Care,143.68,2.83,14.38,9.99,41.32,133.64,176.85,106.89,11.55,4.64,3.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol Corp A,Industrials,68.48,0.94,27.50,2.49,12.01,44.50,69.19,21.12,1.40,3.50,5.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
APC,Anadarko Petroleum Corp,Energy,70.48,0.29,,-7.45,22.87,28.16,71.10,39.39,2.63,4.97,3.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC
ADI,"Analog Devices, Inc.",Information Technology,73.06,2.30,26.47,2.76,16.76,47.24,74.87,22.51,1.25,6.65,4.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANTM,Anthem Inc.,Health Care,145.57,1.81,17.09,8.52,93.94,114.85,148.00,38.35,5.55,0.46,1.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM
AON,Aon plc,Financials,113.17,1.17,20.86,5.42,20.62,83.83,116.59,29.77,2.49,2.57,5.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA,Apache Corporation,Energy,66.52,1.51,,-47.56,17.05,32.20,67.76,25.24,2.76,5.13,3.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
